"",station,X,Y
80,OMV.ADC,-7.558,1.627
81,OMV.ADD,5.327,4.766
82,OMV.ADE,3.324,1.765
83,OMV.ADF,-4.66,-5.614
84,OMV.ADG,-6.064,-2.946
85,OMV.ADH,6.812,3.433
86,OMV.ADI,1.376,-6.36
87,OMV.ADJ,4.259,-2.517
88,OMV.ADK,-3.776,-1.733
89,OMV.ADL,-0.007,0.468
90,OMV.ADM,2.504,0.855
91,OMV.ADN,-9.256,-2.708
92,OMV.ADO,6.97,1.95
93,OMV.ADP,-3.643,-4.627
94,OMV.ADQ,2.844,-5.828
95,OMV.ADR,-4.227,3.855
96,OMV.ADS,-5.004,-6.111
97,OMV.ADT,-1.703,2.153
98,OMV.ADU,-4.99,-4.961
99,OMV.ADV,6.672,0.967
100,OMV.ADW,1.791,2.661
101,OMV.ADX,-5.258,-2.259
102,OMV.ADY,-7.749,-0.576
103,OMV.ADZ,5.545,-1.617
104,OMV.AEA,0.281,-2.71
105,OMV.AEB,-8.685,0.2
106,OMV.AEC,4.887,-2.159
107,OMV.AED,0.715,-2.732
108,OMV.AEE,-3.269,1.907
109,OMV.AEF,2.728,4.662
110,OMV.AEG,3.17,5.098
111,OMV.AEH,-1.067,4.792
112,OMV.AEI,1.537,-2.518
113,OMV.AEJ,3.916,-1.128
114,OMV.AEK,-6.02,0.721
115,OMV.AEL,-0.474,4.676
116,OMV.AEM,-4.226,-5.558
117,OMV.AEN,-8.501,-1.065
118,OMV.AEO,-5.675,-1.784
119,OMV.AEP,3.398,-1.288
120,OMV.AEQ,-4.956,-1.74
121,OMV.AER,-0.262,5.484
122,OMV.AES,2.071,1.571
123,OMV.AET,-0.289,2.717
124,OMV.AEU,1.333,-5.64
125,OMV.AEV,-1.747,-1.064
126,OMV.AEW,-6.511,-5.232
127,OMV.AEX,-5.756,-1.505
128,OMV.AEY,-2.077,-1.565
129,OMV.AEZ,0.039,-3.495
130,OMV.AFA,-4.826,-3.899
131,OMV.AFB,0.47,-2.358
132,OMV.AFC,3.88,3.759
133,OMV.AFD,3.45,-2.014
134,OMV.AFE,3.796,-2.216
135,OMV.AFF,1.425,-1.526
136,OMV.AFG,-0.484,-1.337
137,OMV.AFH,-2.983,-6.736
138,OMV.AFI,2.873,-5.382
139,OMV.AFJ,-2.825,-4.834
140,OMV.AFK,4.574,4.277
141,OMV.AFL,-1.367,2.419
142,OMV.AFM,-0.033,3.261
143,OMV.AFN,4.386,2.071
144,OMV.AFO,4.123,-4.028
145,OMV.AFP,0.917,-0.766
146,OMV.AFQ,5.827,0.071
147,OMV.AFR,-3.459,2.018
148,OMV.AFS,-2.113,-7.101
149,OMV.AFT,-0.856,-5.057
150,OMV.AFU,-5.562,0.465
151,OMV.AFV,2.894,-3.773
152,OMV.AFW,-1.582,-3.545
153,OMV.AFX,6.152,4.513
154,OMV.AFY,1.6,-4.381
155,OMV.AFZ,-2.191,4.984
156,OMV.AGA,-2.884,-3.411
157,OMV.AGB,-6.736,-1.628
158,OMV.AGC,-2.379,2.315
159,OMV.AGD,-0.839,4.426
160,OMV.AGE,0.285,1.688
161,OMV.AGF,5.127,0.017
162,OMV.AGG,2.113,3.63
163,OMV.AGH,-2.946,1.256
164,OMV.AGI,0.379,4.642
165,OMV.AGJ,-8.027,-4.118
166,OMV.AGK,2.591,-3.828
167,OMV.AGL,-3.512,-5.593
168,OMV.AGM,-5.085,-2.822
169,OMV.AGN,2.958,-4.297
170,OMV.AGO,5.59,3.684
171,OMV.AGP,2.692,3.496
172,OMV.AGQ,-1.962,0.219
173,OMV.AGR,1.358,-3.112
174,OMV.AGS,-5.214,-2.978
175,OMV.AGT,5.108,-1.593
176,OMV.AGU,-5.16,-2.547
177,OMV.AGV,3.586,-1.862
178,OMV.AGW,3.241,1.586
179,OMV.AGX,2.631,3.334
180,OMV.AGY,2.902,-4.936
181,OMV.AGZ,6.187,2.64
182,OMV.AHA,1.231,-4.655
183,OMV.AHB,4.025,-4.203
184,OMV.AHC,-3.972,-4.165
185,OMV.AHD,0.943,-4.255
186,OMV.AHE,-5.641,-5.739
187,OMV.AHF,1.955,-0.677
188,OMV.AHG,-7.589,-0.206
189,OMV.AHH,0.618,0.335
190,OMV.AHI,1.654,0.888
191,OMV.AHJ,-4.092,0.535
192,OMV.AHK,4.202,-3.148
193,OMV.AHL,-0.148,6.106
194,OMV.AHM,-5.839,3.172
195,OMV.AHN,4.735,-1.144
196,OMV.AHO,-5.232,-0.19
197,OMV.AHP,5.898,-0.666
198,OMV.AHQ,-1.617,5.575
199,OMV.AHR,3.341,5.924
200,OMV.AHS,-1.098,2.494
201,OMV.AHT,3.322,-4.254
202,OMV.AHU,2.85,3.662
203,OMV.AHV,-7.965,-3.919
204,OMV.AHW,-2.771,-1.162
205,OMV.AHX,-6.988,-5.626
206,OMV.AHY,-1.668,3.752
207,OMV.AHZ,4.086,-2.849
208,OMV.AIA,-2.325,4.366
209,OMV.AIB,0.368,-0.676
210,OMV.AIC,3.235,4.371
211,OMV.AID,-4.915,3.098
212,OMV.AIE,-2.697,-0.278
213,OMV.AIF,-0.813,-5.778
214,OMV.AIG,3.554,4.874
215,OMV.AIH,-6.691,2.048
216,OMV.AII,-0.264,-1.0
217,OMV.AIJ,5.656,1.792
218,OMV.AIK,-5.092,-1.197
219,OMV.AIL,-7.245,0.288
220,OMV.AIM,1.25,-2.581
221,OMV.AIN,-5.172,1.859
222,OMV.AIO,-0.192,-4.287
223,OMV.AIP,-5.178,4.176
224,OMV.AIQ,7.362,2.644
225,OMV.AIR,-5.839,-4.698
226,OMV.AIS,-2.957,4.967
227,OMV.AIT,-1.9,0.646
228,OMV.AIU,4.248,6.096
229,OMV.AIV,4.777,1.843
230,OMV.AIW,-1.331,3.325
231,OMV.AIX,-2.806,-2.299
232,OMV.AIY,-7.146,-3.473
233,OMV.AIZ,-6.781,1.869
234,OMV.AJA,4.684,-2.966
235,OMV.AJB,5.182,-1.636
236,OMV.AJC,-0.409,3.25
237,OMV.AJD,4.683,5.605
238,OMV.AJE,-4.057,-1.337
239,OMV.AJF,-6.973,0.358
240,OMV.AJG,-1.285,-6.659
241,OMV.AJH,-2.148,-0.135
242,OMV.AJI,0.879,-6.301
243,OMV.AJJ,3.86,5.856
244,OMV.AJK,7.585,2.286
245,OMV.AJL,1.791,5.455
246,OMV.AJM,-6.51,-0.834
247,OMV.AJN,-2.648,-1.696
248,OMV.AJO,-5.046,-6.316
249,OMV.AJP,6.749,3.245
250,OMV.AJQ,-4.251,2.248
251,OMV.AJR,-2.465,2.365
252,OMV.AJS,2.888,-0.527
253,OMV.AJT,6.419,5.051
254,OMV.AJU,-0.957,-5.005
255,OMV.AJV,1.734,-1.011
256,OMV.AJW,-6.251,-3.763
257,OMV.AJX,-9.148,-4.159
258,OMV.AJY,-3.114,4.595
259,OMV.AJZ,-0.825,-2.528
260,OMV.AKA,-4.376,0.006
261,OMV.AKB,-5.812,-4.251
262,OMV.AKC,4.04,-0.274
263,OMV.AKD,-5.247,0.519
264,OMV.AKE,4.258,5.618
265,OMV.AKF,-8.539,-3.126
266,OMV.AKG,-9.275,-1.077
267,OMV.AKH,0.569,5.691
268,OMV.AKI,-3.053,5.023
269,OMV.AKJ,2.021,-3.495
270,OMV.AKK,0.988,-6.597
271,OMV.AKL,-7.157,-3.93
272,OMV.AKM,-3.453,3.324
273,OMV.AKN,0.213,1.961
274,OMV.AKO,-2.794,5.105
275,OMV.AKP,2.169,2.209
276,OMV.AKQ,-5.128,-1.639
277,OMV.AKR,0.717,2.825
278,OMV.AKS,-7.206,2.349
279,OMV.AKT,0.09,4.164
280,OMV.AKU,2.437,5.294
281,OMV.AKV,-8.468,-0.62
282,OMV.AKW,0.376,0.709
283,OMV.AKX,5.008,1.94
284,OMV.AKY,0.695,1.447
285,OMV.AKZ,6.058,0.863
286,OMV.ALA,-0.918,2.389
287,OMV.ALB,-7.418,-3.084
288,OMV.ALC,1.034,-0.603
289,OMV.ALD,-0.232,4.768
290,OMV.ALE,-4.505,-6.168
291,OMV.ALF,-7.774,-4.959
292,OMV.ALG,-5.503,-1.884
293,OMV.ALH,1.801,6.13
294,OMV.ALI,2.861,-1.438
295,OMV.ALJ,1.418,-0.827
296,OMV.ALK,-1.202,-0.919
297,OMV.ALL,1.219,4.386
298,OMV.ALM,0.255,-1.537
299,OMV.ALN,-3.515,-4.431
300,OMV.ALO,1.981,-5.324
301,OMV.ALP,-5.538,-3.251
302,OMV.ALQ,-8.457,-3.868
303,OMV.ALR,4.062,-2.144
304,OMV.ALS,-6.467,-0.397
305,OMV.ALT,-6.605,2.229
306,OMV.ALU,-3.113,-3.74
307,OMV.ALV,-0.71,-3.984
308,OMV.ALW,2.848,-4.672
309,OMV.ALX,4.067,4.574
310,OMV.ALY,-0.673,-0.764
311,OMV.ALZ,2.204,-2.212
312,OMV.AMA,4.258,3.073
313,OMV.AMB,2.977,0.347
314,OMV.AMC,1.185,3.699
315,OMV.AMD,3.854,2.614
316,OMV.AME,-5.085,0.418
317,OMV.AMF,-8.669,-2.124
318,OMV.AMG,-6.626,0.159
319,OMV.AMH,-1.226,-1.599
320,OMV.AMI,-7.277,1.503
321,OMV.AMJ,-0.781,1.846
322,OMV.AMK,-6.731,-5.8
323,OMV.AML,-6.344,-5.118
324,OMV.AMM,-3.61,-5.765
325,OMV.AMN,-8.01,-1.373
326,OMV.AMO,1.755,5.906
327,OMV.AMP,3.716,4.316
328,OMV.AMQ,-7.062,0.644
329,OMV.AMR,6.692,2.345
330,OMV.AMS,-0.364,-1.408
331,OMV.AMT,-8.2,-3.554
332,OMV.AMU,6.564,4.503
333,OMV.AMV,5.553,5.56
334,OMV.AMW,-0.149,-5.007
335,OMV.AMX,-5.286,-2.705
336,OMV.AMY,4.345,-3.0
337,OMV.AMZ,1.902,-6.174
338,OMV.ANA,3.191,-3.252
339,OMV.ANB,-3.006,-2.413
340,OMV.ANC,4.784,2.302
341,OMV.AND,-0.48,-0.414
342,OMV.ANE,3.694,2.708
343,OMV.ANF,3.478,-4.346
344,OMV.ANG,-3.962,-1.624
345,OMV.ANH,-3.355,-6.576
346,OMV.ANI,5.733,2.674
347,OMV.ANJ,1.609,-0.012
348,OMV.ANK,-0.067,-1.812
349,OMV.ANL,-2.467,-6.914
350,OMV.ANM,-5.445,-0.992
351,OMV.ANN,-3.214,-3.913
352,OMV.ANO,-1.238,4.66
353,OMV.ANP,-3.033,-6.056
354,OMV.ANQ,2.5,-2.848
355,OMV.ANR,-1.246,-4.366
356,OMV.ANS,-3.538,4.611
357,OMV.ANT,-7.993,-0.204
358,OMV.ANU,5.461,5.378
359,OMV.ANV,4.604,0.786
360,OMV.ANW,5.336,-1.958
361,OMV.ANX,2.793,-2.788
362,OMV.ANY,-1.251,1.889
363,OMV.ANZ,-4.088,1.227
364,OMV.AOA,0.191,3.132
365,OMV.AOB,-2.495,-3.87
366,OMV.AOC,1.45,-1.077
367,OMV.AOD,2.585,0.341
368,OMV.AOE,-2.033,0.493
369,OMV.AOF,2.271,-0.861
370,OMV.AOG,-8.108,-2.219
371,OMV.AOH,4.196,4.035
372,OMV.AOI,-1.212,-5.545
373,OMV.AOJ,-1.612,-0.216
374,OMV.AOK,6.1,0.143
375,OMV.AOL,-0.976,-3.829
376,OMV.AOM,4.05,2.499
377,OMV.AON,2.17,-1.034
378,OMV.AOO,-2.294,-0.745
379,OMV.AOP,0.168,-5.654
380,OMV.AOQ,0.185,4.756
381,OMV.AOR,3.74,-1.488
382,OMV.AOS,-8.338,-2.78
383,OMV.AOT,-6.063,-0.864
384,OMV.AOU,-2.757,5.545
385,OMV.AOV,1.046,-4.549
386,OMV.AOW,-2.111,4.706
387,OMV.AOX,4.252,1.223
388,OMV.AOY,5.171,3.697
389,OMV.AOZ,3.627,2.283
390,OMV.APA,-0.091,1.443
391,OMV.APB,-3.488,-1.207
392,OMV.APC,-3.032,1.532
393,OMV.APD,-6.871,0.533
394,OMV.APE,4.413,3.446
395,OMV.APF,-2.161,1.493
396,OMV.APG,6.087,1.309
397,OMV.APH,-4.611,2.475
398,OMV.API,-0.81,-7.168
399,OMV.APJ,5.395,1.711
400,OMV.APK,-1.745,4.956
401,OMV.APL,4.801,1.134
402,OMV.APM,-0.091,-4.114
403,OMV.APN,2.161,-6.587
404,OMV.APO,1.343,5.705
405,OMV.APP,-7.056,1.798
406,OMV.APQ,-6.132,-2.212
407,OMV.APR,4.838,-2.362
408,OMV.APS,5.995,-0.954
409,OMV.APT,0.055,3.674
410,OMV.APU,4.536,1.752
411,OMV.APV,-6.207,-3.094
412,OMV.APW,-1.548,2.757
413,OMV.APX,-1.262,4.21
414,OMV.APY,0.139,-6.101
415,OMV.APZ,-0.853,-3.437
416,OMV.AQA,-7.603,-2.745
417,OMV.AQB,-3.056,5.488
418,OMV.AQC,2.55,4.303
419,OMV.AQD,0.782,5.315
420,OMV.AQE,-9.103,-4.417
421,OMV.AQF,-5.181,-5.083
422,OMV.AQG,5.774,-1.739
423,OMV.AQH,-4.093,-4.789
424,OMV.AQI,-1.141,-2.343
425,OMV.AQJ,4.294,5.373
426,OMV.AQK,-0.105,-2.948
427,OMV.AQL,-2.389,-1.619
428,OMV.AQM,-7.288,-3.854
429,OMV.AQN,-1.157,4.381
430,OMV.AQO,-1.296,3.073
431,OMV.AQP,-1.021,1.06
432,OMV.AQQ,-5.581,2.791
433,OMV.AQR,1.384,-4.507
434,OMV.AQS,-4.745,-0.26
435,OMV.AQT,-3.228,0.032
436,OMV.AQU,-8.04,-1.101
437,OMV.AQV,-0.594,5.442
438,OMV.AQW,-0.911,1.227
439,OMV.AQX,0.353,-1.827
440,OMV.AQY,-2.193,-4.045
441,OMV.AQZ,-1.765,5.199
442,OMV.ARA,-0.944,4.025
443,OMV.ARB,-0.428,-2.296
444,OMV.ARC,1.408,4.274
445,OMV.ARD,-1.842,-5.834
446,OMV.ARE,3.406,1.948
447,OMV.ARF,7.686,2.458
448,OMV.ARG,-2.408,-2.531
449,OMV.ARH,-6.383,2.564
450,OMV.ARI,2.899,-4.471
451,OMV.ARJ,-7.208,-2.743
452,OMV.ARK,6.778,0.905
453,OMV.ARL,-3.293,-5.258
454,OMV.ARM,-0.899,-3.643
455,OMV.ARN,-3.772,-5.91
456,OMV.ARO,2.832,-1.884
457,OMV.ARP,-3.219,-5.53
458,OMV.ARQ,3.455,-1.553
459,OMV.ARR,-0.306,-0.515
460,OMV.ARS,3.039,-1.773
461,OMV.ART,-5.583,-0.449
462,OMV.ARU,-5.647,1.904
463,OMV.ARV,-3.858,-1.917
464,OMV.ARW,-7.149,-1.853
465,OMV.ARX,-8.908,-3.374
466,OMV.ARY,-1.474,3.408
467,OMV.ARZ,0.714,0.512
468,OMV.ASA,3.401,2.187
469,OMV.ASB,3.084,4.221
470,OMV.ASC,2.335,-3.448
471,OMV.ASD,2.667,2.61
472,OMV.ASE,5.025,-0.85
473,OMV.ASF,-0.436,0.5
474,OMV.ASG,-3.615,-0.206
475,OMV.ASH,0.859,-3.279
476,OMV.ASI,3.071,1.913
477,OMV.ASJ,0.785,1.627
478,OMV.ASK,1.846,-4.333
479,OMV.ASL,1.161,-5.54
480,OMV.ASM,-0.856,-6.0
481,OMV.ASN,-3.318,-6.393
482,OMV.ASO,-8.049,-1.56
483,OMV.ASP,2.443,2.281
484,OMV.ASQ,1.094,0.297
485,OMV.ASR,-1.645,5.128
486,OMV.ASS,-6.856,-2.014
487,OMV.AST,5.898,-1.129
488,OMV.ASU,2.348,3.726
489,OMV.ASV,5.081,-1.809
490,OMV.ASW,-2.201,1.747
491,OMV.ASX,-4.336,-4.648
492,OMV.ASY,-9.129,-1.161
493,OMV.ASZ,4.111,2.232
494,OMV.ATA,-5.704,-2.23
495,OMV.ATB,0.323,2.169
496,OMV.ATC,-0.02,-7.166
497,OMV.ATD,-0.644,3.85
498,OMV.ATE,5.775,-0.593
499,OMV.ATF,-1.529,-5.834
500,OMV.ATG,-7.949,-3.701
501,OMV.ATH,0.402,-4.403
502,OMV.ATI,-6.921,-4.53
503,OMV.ATJ,0.197,-2.43
504,OMV.ATK,-2.281,-5.845
505,OMV.ATL,0.42,5.085
506,OMV.ATM,-1.345,-0.828
507,OMV.ATN,-2.691,-6.293
508,OMV.ATO,-6.483,2.39
509,OMV.ATP,0.917,-1.229
510,OMV.ATQ,6.419,2.273
511,OMV.ATR,6.395,4.602
512,OMV.ATS,1.294,3.414
513,OMV.ATT,-4.055,-5.737
514,OMV.ATU,1.104,-3.654
515,OMV.ATV,1.331,-0.081
516,OMV.ATW,-4.375,-5.551
517,OMV.ATX,7.281,2.927
518,OMV.ATY,-9.087,-0.492
519,OMV.ATZ,1.261,-5.367
520,OMV.AUA,-5.958,3.705
521,OMV.AUB,-0.516,0.997
522,OMV.AUC,-4.434,3.049
523,OMV.AUD,-0.353,2.522
524,OMV.AUE,-6.769,0.708
525,OMV.AUF,-5.95,0.923
526,OMV.AUG,-4.351,-3.482
527,OMV.AUH,-0.943,5.413
528,OMV.AUI,-8.049,-3.874
529,OMV.AUJ,-1.176,3.929
530,OMV.AUK,-6.655,-5.611
531,OMV.AUL,-4.975,0.586
532,OMV.AUM,-1.693,2.841
533,OMV.AUN,-0.155,-7.087
534,OMV.AUO,-4.856,3.986
535,OMV.AUP,0.332,-0.193
536,OMV.AUQ,1.844,1.703
537,OMV.AUR,3.799,-4.534
538,OMV.AUS,3.523,-5.068
539,OMV.AUT,0.815,5.777
540,OMV.AUU,-4.203,2.452
541,OMV.AUV,-9.206,-1.349
542,OMV.AUW,-0.894,0.06
543,OMV.AUX,3.176,-4.865
544,OMV.AUY,-8.513,-3.603
545,OMV.AUZ,-4.488,-2.244
546,OMV.AVA,6.522,2.448
547,OMV.AVB,-3.666,-6.194
548,OMV.AVC,5.115,-0.439
549,OMV.AVD,2.936,5.466
550,OMV.AVE,2.199,4.967
551,OMV.AVF,4.892,0.154
552,OMV.AVG,-4.283,-2.596
553,OMV.AVH,-3.768,-0.346
554,OMV.AVI,2.026,5.07
555,OMV.AVJ,-6.324,0.677
556,OMV.AVK,-8.632,-5.154
557,OMV.AVL,6.217,1.928
558,OMV.AVM,4.731,5.343
559,OMV.AVN,4.982,4.971
560,OMV.AVO,2.313,-1.581
561,OMV.AVP,-5.47,-3.524
562,OMV.AVQ,3.061,-3.871
563,OMV.AVR,-0.392,-1.932
564,OMV.AVS,2.702,-3.661
565,OMV.AVT,-3.02,-0.784
566,OMV.AVU,-1.383,4.05
567,OMV.AVV,4.39,5.54
568,OMV.AVW,3.987,4.842
569,OMV.AVX,4.271,-0.641
570,OMV.AVY,2.605,-0.362
571,OMV.AVZ,-8.626,-1.686
572,OMV.AWA,4.591,-1.986
573,OMV.AWB,-6.164,-3.814
574,OMV.AWC,-1.308,-5.488
575,OMV.AWD,0.559,-2.178
576,OMV.AWE,-1.569,-1.63
577,OMV.AWF,2.404,0.914
578,OMV.AWG,0.904,4.336
579,OMV.AWH,-0.552,-5.698
580,OMV.AWI,-0.799,2.087
581,OMV.AWJ,6.644,1.446
582,OMV.AWK,0.095,-2.602
583,OMV.AWL,6.288,0.033
584,OMV.AWM,-1.072,5.719
585,OMV.AWN,5.223,1.814
586,OMV.AWO,-3.37,-6.136
587,OMV.AWP,-4.525,2.176
588,OMV.AWQ,6.883,1.77
589,OMV.AWR,-6.554,-0.114
590,OMV.AWS,-2.48,5.616
591,OMV.AWT,-7.65,-3.874
592,OMV.AWU,-1.145,0.9
593,OMV.AWV,7.082,3.043
594,OMV.AWW,4.833,-0.043
595,OMV.AWX,2.873,-0.982
596,OMV.AWY,3.512,4.437
597,OMV.AWZ,2.911,-4.013
598,OMV.AXA,2.022,4.145
599,OMV.AXB,-7.09,2.281
600,OMV.AXC,3.604,2.066
601,OMV.AXD,2.156,0.132
602,OMV.AXE,2.329,-5.522
603,OMV.AXF,-0.643,-4.256
604,OMV.AXG,-6.036,-4.815
605,OMV.AXH,6.318,2.1
606,OMV.AXI,-0.969,5.895
607,OMV.AXJ,-8.455,-1.786
608,OMV.AXK,2.029,5.537
609,OMV.AXL,3.563,3.009
610,OMV.AXM,-0.494,-4.805
611,OMV.AXN,-7.186,-4.376
612,OMV.AXO,-6.515,-3.146
613,OMV.AXP,1.666,-1.898
614,OMV.AXQ,-3.351,-5.682
615,OMV.AXR,-5.439,-4.931
616,OMV.AXS,-5.963,-3.468
617,OMV.AXT,-1.683,1.493
618,OMV.AXU,-6.998,-2.402
619,OMV.AXV,2.359,1.634
620,OMV.AXW,1.237,5.301
621,OMV.AXX,-6.045,-5.967
622,OMV.AXY,-7.16,-1.151
623,OMV.AXZ,-3.449,-5.856
624,OMV.AYA,-3.519,-1.651
625,OMV.AYB,4.098,-1.698
626,OMV.AYC,3.134,-1.366
627,OMV.AYD,1.432,4.028
628,OMV.AYE,2.998,5.666
629,OMV.AYF,-4.842,2.824
630,OMV.AYG,-2.796,4.412
631,OMV.AYH,4.898,-1.471
632,OMV.AYI,-1.59,-6.249
633,OMV.AYJ,0.083,1.342
634,OMV.AYK,7.737,2.198
635,OMV.AYL,-6.437,-5.275
636,OMV.AYM,-2.522,1.244
637,OMV.AYN,-7.503,-3.729
638,OMV.AYO,-0.089,-5.736
639,OMV.AYP,-7.938,0.693
640,OMV.AYQ,-7.63,-0.646
641,OMV.AYR,-3.214,-1.134
642,OMV.AYS,-9.418,-1.457
643,OMV.AYT,4.998,5.431
644,OMV.AYU,1.971,-0.223
645,OMV.AYV,5.814,4.012
646,OMV.AYW,-4.185,-6.355
647,OMV.AYX,-2.288,2.03
648,OMV.AYY,-2.691,1.569
649,OMV.AYZ,7.71,2.908
650,OMV.AZA,-3.09,3.424
651,OMV.AZB,-0.506,0.296
652,OMV.AZC,-1.227,5.347
653,OMV.AZD,0.803,1.385
654,OMV.AZE,2.295,3.986
655,OMV.AZF,-0.448,5.364
656,OMV.AZG,-9.714,-2.44
657,OMV.AZH,-8.444,-4.802
658,OMV.AZI,4.686,3.286
659,OMV.AZJ,1.744,1.299
660,OMV.AZK,2.674,4.228
661,OMV.AZL,-7.365,-2.193
662,OMV.AZM,-7.174,2.1
663,OMV.AZN,-8.289,-1.874
664,OMV.AZO,-8.368,-0.447
665,OMV.AZP,6.298,3.982
666,OMV.AZQ,7.499,3.263
667,OMV.AZR,-8.334,-4.634
668,OMV.AZS,-4.239,-4.481
669,OMV.AZT,1.263,-6.526
670,OMV.AZU,-8.413,0.274
671,OMV.AZV,-7.677,-0.85
672,OMV.AZW,3.493,-2.734
673,OMV.AZX,-8.15,-4.046
674,OMV.AZY,2.921,-0.083
675,OMV.AZZ,5.898,-0.666
676,OMV.BAA,3.393,-2.906
677,OMV.BAB,-2.134,4.256
678,OMV.BAC,5.875,1.665
679,OMV.BAD,-1.084,-7.008
680,OMV.BAE,1.794,1.501
681,OMV.BAF,-0.671,3.171
682,OMV.BAG,3.337,-3.338
683,OMV.BAH,0.221,2.419
684,OMV.BAI,2.893,-2.151
685,OMV.BAJ,3.706,-4.019
686,OMV.BAK,-3.445,3.631
687,OMV.BAL,-7.346,0.115
688,OMV.BAM,-4.511,1.01
689,OMV.BAN,-4.77,2.55
690,OMV.BAO,-3.152,4.154
691,OMV.BAP,1.803,-4.755
692,OMV.BAQ,4.976,2.19
693,OMV.BAR,-7.953,-0.92
694,OMV.BAS,-0.801,-6.941
695,OMV.BAT,-7.876,-5.363
696,OMV.BAU,-8.736,-1.854
697,OMV.BAV,-8.25,-3.062
698,OMV.BAW,-7.686,0.313
699,OMV.BAX,-3.949,2.767
700,OMV.BAY,-8.325,0.454
701,OMV.BAZ,0.265,-6.638
702,OMV.BBA,0.348,-6.918
703,OMV.BBB,-4.05,1.437
704,OMV.BBC,-3.525,-5.12
705,OMV.BBD,1.464,-2.243
706,OMV.BBE,-5.964,2.089
707,OMV.BBF,-1.119,-4.673
708,OMV.BBG,-4.118,-1.534
709,OMV.BBH,-4.245,3.402
710,OMV.BBI,-4.015,-0.899
711,OMV.BBJ,5.492,5.832
712,OMV.BBK,-6.624,-1.463
713,OMV.BBL,5.907,5.583
714,OMV.BBM,-3.115,-4.657
715,OMV.BBN,-5.824,-6.327
716,OMV.BBO,-7.49,0.665
717,OMV.BBP,2.759,-1.147
718,OMV.BBQ,2.571,-5.9
719,OMV.BBR,-8.425,-1.34
720,OMV.BBS,-4.065,3.817
721,OMV.BBT,-0.835,-1.827
722,OMV.BBU,-7.499,-2.573
723,OMV.BBV,-7.0,-0.086
724,OMV.BBW,3.022,1.247
725,OMV.BBX,-2.59,-2.424
726,OMV.BBY,-5.529,-5.11
727,OMV.BBZ,3.115,-1.586
728,OMV.BCA,-7.126,1.377
