station,X,Y
OMV.BNT,-0.004,-5.093
OMV.BOF,5.213,1.591
OMV.BPD,-5.399,-4.028
OMV.BQF,0.542,-5.41
OMV.BQI,-5.332,-4.762
OMV.BQT,-3.068,5.263
OMV.BRI,2.355,-5.08
OMV.BRU,1.093,-5.269
OMV.BSE,-5.135,-0.015
OMV.BSJ,-2.04,-5.061
OMV.BTZ,-0.9,5.389
OMV.BUC,-5.387,-2.878
OMV.BUH,4.801,5.073
OMV.BUI,-5.089,2.052
OMV.BUK,0.229,5.193
OMV.BUX,-5.199,3.016
OMV.BVP,-5.157,-2.086
OMV.BVV,-2.925,5.411
OMV.BWL,-2.926,-5.006
OMV.BWW,-5.32,1.251
OMV.BWX,5.439,0.993
OMV.BWZ,5.447,-1.328
OMV.BXZ,5.425,-0.157
OMV.BYK,-3.04,-5.403
OMV.BYL,-5.004,1.751
OMV.BYQ,-4.337,-5.112
OMV.BZI,2.801,-5.109
OMV.BZW,1.673,-5.146
OMV.BZX,5.167,-1.396
OMV.CAI,0.658,-5.245
OMV.CAM,5.081,-1.809
OMV.CAU,5.007,-2.461
OMV.CBR,-3.709,5.174
OMV.CCJ,-5.431,-2.158
OMV.CCQ,5.006,-2.692
OMV.CCY,-3.119,5.295
OMV.CCZ,-3.026,-5.179
OMV.CEW,-3.127,-5.352
OMV.CFF,-1.834,-5.44
OMV.CFS,4.496,5.496
OMV.CFY,5.169,-0.239
OMV.CGN,0.096,-5.381
OMV.CGZ,-5.084,-0.276
OMV.CHM,5.269,-0.761
OMV.CIB,-5.121,-0.736
OMV.CID,5.368,3.583
OMV.CIE,2.082,-5.151
OMV.CIL,-5.329,-1.985
OMV.CIQ,0.3,-5.037
OMV.CJF,-5.345,1.96
OMV.CJO,-5.213,3.735
OMV.CJU,-5.346,-0.123
OMV.CJW,0.715,5.142
OMV.CJX,-5.341,0.341
OMV.CKO,2.251,-5.243
OMV.CKW,3.069,-5.057
OMV.CKY,3.435,5.169
OMV.CMI,-5.099,2.511
OMV.CMY,3.181,-5.331
OMV.COA,-5.119,3.68
OMV.COG,5.112,1.647
OMV.COV,5.481,0.273
OMV.CPP,-1.314,-5.021
OMV.CPR,-0.456,-5.29
OMV.CQZ,4.015,5.299
OMV.CRL,1.434,-5.468
OMV.CRN,-5.394,1.062
OMV.CRT,-5.096,4.361
OMV.CRU,2.427,-5.354
OMV.CST,2.661,5.395
OMV.CTU,5.164,2.08
OMV.CUN,5.27,-1.225
OMV.CUQ,-2.792,-5.317
OMV.CVL,-0.722,-5.135
OMV.CWA,-0.624,-5.424
OMV.CWJ,-2.247,-5.402
OMV.CWZ,5.288,-0.077
OMV.CXL,-2.495,-5.027
OMV.CXN,-5.057,0.866
OMV.CXP,-5.361,-3.587
OMV.CXQ,-1.722,5.396
OMV.CYR,-5.422,-1.236
OMV.CZF,-5.206,-1.363
OMV.CZQ,5.205,-2.577
OMV.DAG,-0.845,5.125
OMV.DAN,-1.745,-5.234
OMV.DAU,5.166,-0.933
OMV.DBC,-3.906,-5.128
OMV.DBH,-1.639,5.356
OMV.DCG,-5.232,0.967
OMV.DCS,-0.299,5.038
OMV.DDI,-5.155,-0.466
OMV.DDR,-1.097,5.271
OMV.DDU,-1.88,5.034
OMV.DGW,-5.128,-4.418
OMV.DHI,-5.005,-2.638
OMV.DHL,-5.1,1.586
OMV.DHP,5.189,-2.104
OMV.DIB,-0.964,-5.464
OMV.DIS,-5.483,2.039
OMV.DIZ,-5.318,-5.464
OMV.DJA,-5.266,0.061
OMV.DJJ,-5.335,4.037
OMV.DJL,5.411,-2.234
OMV.DJP,-5.052,-4.694
OMV.DKX,5.454,1.91
OMV.DLR,-5.353,-4.055
OMV.DLX,-2.539,5.187
OMV.DMF,5.425,2.159
OMV.DMV,-5.185,2.329
OMV.DOE,0.257,5.402
OMV.DPI,5.343,0.122
OMV.DQE,0.821,-5.275
OMV.DSL,-5.229,-1.812
OMV.DTN,-5.293,1.698
OMV.DUC,3.979,5.085
OMV.DVP,-5.395,3.841
OMV.DWI,4.327,5.121
OMV.DYC,-1.352,-5.178
OMV.DYD,2.601,5.198
OMV.DZV,-1.242,-5.294
OMV.EBD,-5.087,3.198
OMV.ECC,0.997,-5.444
OMV.ECQ,-5.415,-4.713
OMV.EDC,2.927,5.006
OMV.EEZ,-5.458,0.867
OMV.EFI,-5.391,3.144
OMV.EGA,4.412,5.297
OMV.EGR,1.362,-5.194
OMV.EGV,4.116,5.47
OMV.EHE,1.364,5.456
OMV.EHO,4.91,5.239
OMV.EHV,1.463,-5.022
OMV.EHX,-5.485,2.274
OMV.EIB,5.03,0.306
OMV.EIC,-5.276,-0.627
OMV.EIV,-5.058,0.172
OMV.EIW,-0.418,-5.081
OMV.EJK,5.373,-1.053
OMV.EKT,-2.418,-5.302
OMV.ELT,3.027,-5.458
OMV.EMG,-2.695,5.046
OMV.EMR,-5.171,-3.698
OMV.ENB,-5.288,3.315
OMV.EOC,-5.201,1.413
OMV.EPN,3.47,5.39
OMV.EQQ,-5.028,-1.466
OMV.EQW,5.02,3.785
OMV.ERF,-1.465,5.486
OMV.ESU,5.037,3.081
OMV.ESV,-3.503,5.051
OMV.EVN,-0.641,5.238
OMV.EWK,0.248,-5.238
OMV.EYC,5.366,-1.511
OMV.EYI,0.648,-5.122
OMV.EZE,5.345,-0.342
OMV.EZY,1.535,-5.295
OMV.FAE,-0.077,-5.28
OMV.FAF,-0.932,5.177
OMV.FBF,-5.027,3.394
OMV.FBQ,2.091,5.264
OMV.FBU,-5.252,-0.873
OMV.FBW,5.495,-0.43
OMV.FCK,-2.365,5.085
OMV.FCV,-5.335,-0.825
OMV.FDY,-1.861,-5.165
OMV.FFV,5.486,1.197
OMV.FGH,5.476,-0.882
OMV.FGJ,-4.897,-5.015
OMV.FHF,5.011,-0.61
OMV.FHO,-1.141,-5.122
OMV.FHP,-5.374,1.513
OMV.FIC,-2.724,5.297
OMV.FJH,-5.276,2.151
OMV.FJT,-2.643,5.479
OMV.FJW,-1.587,-5.093
OMV.FKG,5.063,-1.104
OMV.FKJ,-5.358,-2.431
OMV.FND,-5.367,-3.815
OMV.FOF,-5.467,3.651
OMV.FQM,5.19,0.907
OMV.FRL,5.266,1.094
OMV.FRN,3.444,-5.253
OMV.FSL,-5.327,2.644
OMV.FSZ,-5.101,1.122
OMV.FTM,-5.487,-1.432
OMV.FUU,-2.167,5.432
OMV.FUW,5.338,0.82
OMV.FVX,-2.641,-5.172
OMV.FWT,5.307,-2.404
OMV.FWY,-1.33,5.177
OMV.FXJ,1.195,-5.097
OMV.FXN,-0.798,-5.326
OMV.FXY,-5.026,-4.49
OMV.FYI,-5.297,2.394
OMV.FYL,-5.475,1.34
OMV.FYM,5.216,3.208
OMV.FZH,5.005,-1.765
OMV.GAT,2.16,5.456
OMV.GBL,-5.288,2.852
OMV.GBO,-5.44,1.785
OMV.GBR,5.324,1.986
OMV.GCI,-5.35,0.805
OMV.GDQ,-5.152,3.468
OMV.GDR,0.882,-5.212
OMV.GFC,-0.986,-5.21
OMV.GFK,5.428,1.463
OMV.GGX,-2.106,-5.486
OMV.GHH,2.604,-5.447
OMV.GIG,3.122,5.484
OMV.GIY,-5.228,-4.591
OMV.GJH,5.43,1.23
OMV.GJS,5.064,0.749
OMV.GKX,-5.467,-5.379
OMV.GLK,1.135,5.127
OMV.GLL,-5.213,0.725
OMV.GMH,-1.984,-5.325
OMV.GMO,-5.059,-1.911
OMV.GNK,5.159,-4.634
OMV.GNT,4.846,-5.146
OMV.GOA,5.42,-2.724
OMV.GOX,5.274,-4.013
OMV.GQL,4.67,-5.043
OMV.GSN,3.896,-5.053
OMV.GTC,5.48,-2.505
OMV.GTI,5.4,-3.849
OMV.GTR,4.768,-5.332
OMV.GUC,5.361,-4.984
OMV.GVP,5.273,-2.848
OMV.GWK,4.332,-5.308
OMV.GXZ,5.49,-4.828
OMV.GYM,5.151,-4.166
OMV.GYT,5.296,-3.558
OMV.GZO,5.226,-4.441
OMV.HAC,4.411,-5.123
OMV.HAH,4.543,-5.201
OMV.HAV,5.477,-3.662
OMV.HBA,5.233,-4.909
OMV.HBK,4.253,-5.494
OMV.HBN,4.465,-5.386
OMV.HCM,5.334,-4.737
OMV.HCN,5.435,-4.564
OMV.HDB,3.654,-5.144
OMV.HEM,3.575,-5.329
OMV.HEN,5.357,-5.214
OMV.HFC,3.817,-5.239
OMV.HGH,5.055,-4.804
