station,X,Y
OMV.AOL,-0.976,-3.829
OMV.AOM,4.05,2.499
OMV.AON,2.17,-1.034
OMV.AOO,-2.294,-0.745
OMV.AOR,3.74,-1.488
OMV.AOX,4.252,1.223
OMV.AOZ,3.627,2.283
OMV.APA,-0.091,1.443
OMV.APB,-3.488,-1.207
OMV.APC,-3.032,1.532
OMV.APE,4.413,3.446
OMV.APF,-2.161,1.493
OMV.APM,-0.091,-4.114
OMV.APT,0.055,3.674
OMV.APW,-1.548,2.757
OMV.APX,-1.262,4.21
OMV.APZ,-0.853,-3.437
OMV.AQC,2.55,4.303
OMV.AQI,-1.141,-2.343
OMV.AQK,-0.105,-2.948
OMV.AQL,-2.389,-1.619
OMV.AQN,-1.157,4.381
OMV.AQO,-1.296,3.073
OMV.AQP,-1.021,1.06
OMV.AQT,-3.228,0.032
OMV.AQW,-0.911,1.227
OMV.AQX,0.353,-1.827
OMV.AQY,-2.193,-4.045
OMV.ARA,-0.944,4.025
OMV.ARB,-0.428,-2.296
OMV.ARC,1.408,4.274
OMV.ARE,3.406,1.948
OMV.ARG,-2.408,-2.531
OMV.ARI,2.899,-4.471
OMV.ARM,-0.899,-3.643
OMV.ARO,2.832,-1.884
OMV.ARQ,3.455,-1.553
OMV.ARR,-0.306,-0.515
OMV.ARS,3.039,-1.773
OMV.ARV,-3.858,-1.917
OMV.ARY,-1.474,3.408
OMV.ARZ,0.714,0.512
OMV.ASA,3.401,2.187
OMV.ASB,3.084,4.221
OMV.ASC,2.335,-3.448
OMV.ASD,2.667,2.61
OMV.ASF,-0.436,0.5
OMV.ASG,-3.615,-0.206
OMV.ASH,0.859,-3.279
OMV.ASI,3.071,1.913
OMV.ASJ,0.785,1.627
OMV.ASK,1.846,-4.333
OMV.ASP,2.443,2.281
OMV.ASQ,1.094,0.297
OMV.ASU,2.348,3.726
OMV.ASW,-2.201,1.747
OMV.ASZ,4.111,2.232
OMV.ATB,0.323,2.169
OMV.ATD,-0.644,3.85
OMV.ATH,0.402,-4.403
OMV.ATJ,0.197,-2.43
OMV.ATM,-1.345,-0.828
OMV.ATP,0.917,-1.229
OMV.ATS,1.294,3.414
OMV.ATU,1.104,-3.654
OMV.ATV,1.331,-0.081
OMV.AUB,-0.516,0.997
OMV.AUC,-4.434,3.049
OMV.AUD,-0.353,2.522
OMV.AUG,-4.351,-3.482
OMV.AUJ,-1.176,3.929
OMV.AUM,-1.693,2.841
OMV.AUP,0.332,-0.193
OMV.AUQ,1.844,1.703
OMV.AUU,-4.203,2.452
OMV.AUW,-0.894,0.06
OMV.AUZ,-4.488,-2.244
OMV.AVG,-4.283,-2.596
OMV.AVH,-3.768,-0.346
OMV.AVO,2.313,-1.581
OMV.AVQ,3.061,-3.871
OMV.AVR,-0.392,-1.932
OMV.AVS,2.702,-3.661
OMV.AVT,-3.02,-0.784
OMV.AVU,-1.383,4.05
OMV.AVX,4.271,-0.641
OMV.AVY,2.605,-0.362
OMV.AWD,0.559,-2.178
OMV.AWE,-1.569,-1.63
OMV.AWF,2.404,0.914
OMV.AWG,0.904,4.336
OMV.AWI,-0.799,2.087
OMV.AWK,0.095,-2.602
OMV.AWU,-1.145,0.9
OMV.AWX,2.873,-0.982
OMV.AWY,3.512,4.437
OMV.AWZ,2.911,-4.013
OMV.AXA,2.022,4.145
OMV.AXC,3.604,2.066
OMV.AXD,2.156,0.132
OMV.AXF,-0.643,-4.256
OMV.AXL,3.563,3.009
OMV.AXP,1.666,-1.898
OMV.AXT,-1.683,1.493
OMV.AXV,2.359,1.634
OMV.AYA,-3.519,-1.651
OMV.AYB,4.098,-1.698
OMV.AYC,3.134,-1.366
OMV.AYD,1.432,4.028
OMV.AYG,-2.796,4.412
OMV.AYJ,0.083,1.342
OMV.AYM,-2.522,1.244
OMV.AYR,-3.214,-1.134
OMV.AYU,1.971,-0.223
OMV.AYX,-2.288,2.03
OMV.AYY,-2.691,1.569
OMV.AZA,-3.09,3.424
OMV.AZB,-0.506,0.296
OMV.AZD,0.803,1.385
OMV.AZE,2.295,3.986
OMV.AZJ,1.744,1.299
OMV.AZK,2.674,4.228
OMV.AZS,-4.239,-4.481
OMV.AZW,3.493,-2.734
OMV.AZY,2.921,-0.083
OMV.BAA,3.393,-2.906
OMV.BAB,-2.134,4.256
OMV.BAE,1.794,1.501
OMV.BAF,-0.671,3.171
OMV.BAG,3.337,-3.338
OMV.BAH,0.221,2.419
OMV.BAI,2.893,-2.151
OMV.BAJ,3.706,-4.019
OMV.BAK,-3.445,3.631
OMV.BAO,-3.152,4.154
OMV.BAX,-3.949,2.767
OMV.BBB,-4.05,1.437
OMV.BBD,1.464,-2.243
OMV.BBG,-4.118,-1.534
OMV.BBH,-4.245,3.402
OMV.BBI,-4.015,-0.899
OMV.BBP,2.759,-1.147
OMV.BBS,-4.065,3.817
OMV.BBT,-0.835,-1.827
OMV.BBW,3.022,1.247
OMV.BBX,-2.59,-2.424
OMV.BBZ,3.115,-1.586
OMV.BCB,-3.503,2.507
OMV.BCD,3.661,-4.453
OMV.BCG,4.298,-1.352
OMV.BCH,-0.724,-4.439
OMV.BCJ,2.244,-3.853
OMV.BCK,-4.063,-1.797
OMV.BCL,-1.557,-1.874
OMV.BCN,1.198,1.617
OMV.BCO,2.909,2.24
OMV.BCP,-4.446,-3.644
OMV.BCQ,-3.141,-3.262
OMV.BCW,2.954,1.519
OMV.BCY,2.255,3.087
OMV.BDB,-2.595,-1.264
OMV.BDC,-1.817,1.527
OMV.BDE,-2.237,0.148
OMV.BDG,-2.106,0.766
OMV.BDJ,-0.564,-4.07
OMV.BDK,3.021,2.406
OMV.BDQ,-4.437,-3.886
OMV.BDS,-2.787,0.006
OMV.BDT,-4.236,1.082
OMV.BDU,-2.691,1.339
OMV.BDV,-2.882,3.071
OMV.BDW,-3.064,2.714
OMV.BDX,-3.667,4.455
OMV.BED,0.917,-2.387
OMV.BEJ,1.456,-0.385
OMV.BEK,3.616,0.205
OMV.BEM,2.688,-3.189
OMV.BEN,-4.37,0.465
OMV.BEO,-1.201,-4.392
OMV.BEQ,-0.242,3.153
OMV.BER,-2.818,0.255
OMV.BES,-1.604,4.41
OMV.BEV,0.544,2.926
OMV.BEX,-1.026,-3.337
OMV.BFE,0.025,-2.329
OMV.BFG,0.427,-0.017
OMV.BFI,-2.622,1.514
OMV.BFJ,-1.987,-4.167
OMV.BFK,4.227,-2.237
OMV.BFM,-1.414,0.363
OMV.BFP,-1.703,-2.247
OMV.BFS,3.941,-0.448
OMV.BFT,3.145,0.249
OMV.BGA,-3.018,1.991
OMV.BGB,-3.905,4.359
OMV.BGC,-3.874,0.873
OMV.BGE,3.218,2.986
OMV.BGF,-1.604,-2.768
OMV.BGK,-0.643,-2.171
OMV.BGM,3.734,-3.108
OMV.BGQ,-4.309,1.355
OMV.BGT,-1.215,0.016
OMV.BGW,3.15,-4.155
OMV.BGZ,4.115,1.534
OMV.BHB,3.594,-2.561
OMV.BHE,-0.46,0.038
OMV.BHF,0.341,-2.977
OMV.BHH,-2.139,0.323
OMV.BHL,-3.472,-0.711
OMV.BHN,-3.142,1.371
OMV.BHO,4.426,-1.658
OMV.BHP,1.189,-3.472
OMV.BHU,-1.85,-4.477
OMV.BHW,-3.07,1.097
OMV.BHY,4.31,0.263
OMV.BHZ,-3.054,2.244
OMV.BIB,-2.034,3.271
OMV.BIE,-0.045,0.722
OMV.BIG,-2.299,-0.047
OMV.BIH,-0.729,-1.194
OMV.BIJ,-1.739,-3.744
OMV.BIK,-0.764,1.141
OMV.BIL,4.447,4.342
OMV.BIN,-2.74,2.063
OMV.BIO,0.815,-1.864
OMV.BIQ,-2.661,-0.068
OMV.BIU,-0.417,4.181
OMV.BJA,1.672,0.045
OMV.BJB,2.474,-3.991
OMV.BJC,-2.771,-4.403
OMV.BJD,2.713,0.269
OMV.BJE,0.026,2.995
OMV.BJI,-3.145,-1.869
OMV.BJJ,2.668,0.991
OMV.BJO,0.323,-3.43
OMV.BJP,2.462,-0.281
OMV.BJT,3.208,3.917
OMV.BJX,1.097,3.067
OMV.BJY,0.659,0.774
OMV.BJZ,-4.201,-1.948
OMV.BKB,1.262,4.128
OMV.BKH,-0.854,4.204
OMV.BKJ,1.1,-1.3
OMV.BKL,-0.346,0.897
OMV.BKP,-2.413,-0.675
OMV.BKQ,0.139,-2.164
OMV.BKT,-3.39,-2.587
OMV.BKX,4.01,3.449
OMV.BKZ,-1.496,-0.064
OMV.BLC,-2.858,3.52
OMV.BLE,-2.908,1.003
OMV.BLF,-2.531,4.49
OMV.BLJ,3.301,1.316
OMV.BLK,3.114,-0.659
OMV.BLL,3.339,3.377
OMV.BLM,0.97,2.909
OMV.BLO,2.292,-0.411
OMV.BLP,-0.698,1.566
OMV.BLQ,-0.485,-3.652
OMV.BMC,0.844,-2.807
OMV.BMD,4.359,4.172
OMV.BME,-3.228,2.81
OMV.BMH,-0.632,-1.02
OMV.BMJ,4.199,-1.525
OMV.BMK,-0.959,1.954
OMV.BML,-1.584,-0.695
OMV.BMR,0.848,2.285
OMV.BMT,0.295,-4.108
OMV.BMX,3.872,3.531
OMV.BMZ,0.227,0.795
OMV.BNA,3.056,0.764
OMV.BNE,4.416,3.208
OMV.BNH,-0.721,-2.357
OMV.BNK,1.968,-1.38
OMV.BNL,3.177,-2.086
OMV.BNO,3.809,1.01
OMV.BNR,2.185,0.578
OMV.BNV,-4.489,1.924
OMV.BNX,0.159,-0.092
OMV.BNZ,-2.926,-0.608
OMV.BOC,1.857,-3.167
OMV.BOD,-4.041,2.589
OMV.BOH,-2.725,0.896
OMV.BOI,1.636,2.057
OMV.BOL,-3.546,3.458
OMV.BON,-4.48,-1.322
OMV.BOR,2.221,-0.601
OMV.BOU,-2.812,3.261
OMV.BOV,1.433,-3.383
OMV.BOX,3.74,-4.268
OMV.BPB,-2.954,1.72
OMV.BPE,-2.753,0.45
OMV.BPI,-0.078,-2.269
OMV.BPL,2.777,-3.936
OMV.BPM,0.416,2.309
OMV.BPN,-3.658,-3.19
OMV.BPO,0.525,3.629
OMV.BPR,1.334,-2.167
OMV.BPS,-3.06,3.175
OMV.BPU,-2.314,3.898
OMV.BPW,-4.134,0.791
OMV.BPX,4.442,0.88
OMV.BPZ,3.254,-3.52
OMV.BQB,2.336,-2.29
OMV.BQC,3.163,-0.92
OMV.BQD,-3.709,3.564
OMV.BQG,0.57,-1.026
OMV.BQH,0.677,2.385
OMV.BQO,-0.33,3.898
OMV.BQP,-0.423,2.796
OMV.BQS,4.216,0.086
OMV.BQW,-4.158,4.282
OMV.BQX,-3.617,0.953
OMV.BQY,0.596,-1.504
OMV.BRB,-2.815,-1.598
OMV.BRC,0.911,-2.151
OMV.BRD,-1.789,0.118
OMV.BRF,0.873,-1.435
OMV.BRJ,2.035,2.287
OMV.BRL,-3.646,3.285
OMV.BRM,0.054,-1.883
OMV.BRN,-2.412,0.713
OMV.BRO,3.168,3.477
OMV.BRP,-1.559,3.688
OMV.BRT,0.542,1.306
OMV.BRW,3.602,3.921
OMV.BRX,-2.092,-4.336
OMV.BSA,-2.12,-3.625
OMV.BSB,3.758,-3.351
OMV.BSC,3.54,-3.896
OMV.BSF,-1.386,0.809
OMV.BSG,-1.861,0.392
OMV.BSI,0.964,-1.948
OMV.BSL,-3.055,-2.847
OMV.BSM,-4.381,1.629
OMV.BSN,-0.163,-3.841
OMV.BSP,-4.082,4.232
OMV.BSQ,2.793,0.453
OMV.BSS,-1.27,0.973
OMV.BSU,-1.198,1.164
OMV.BSV,-4.193,0.362
OMV.BSZ,1.198,2.544
OMV.BTA,0.961,-2.643
OMV.BTH,-2.209,0.595
OMV.BTJ,0.701,-4.345
OMV.BTK,-1.214,-2.072
OMV.BTL,3.841,-3.632
OMV.BTM,-3.794,-0.605
OMV.BTN,4.367,1.62
OMV.BTO,-4.193,-2.416
OMV.BTQ,-1.347,0.093
OMV.BTR,-3.701,-2.703
OMV.BTS,2.544,-0.79
OMV.BTT,2.35,4.423
OMV.BTV,-0.882,-0.408
OMV.BTW,1.363,1.058
OMV.BTX,-0.579,2.192
OMV.BUB,3.264,3.19
OMV.BUE,-0.559,-1.988
OMV.BUF,1.447,-2.002
OMV.BUM,1.734,1.068
OMV.BUO,3.318,-3.095
OMV.BUP,0.986,0.122
OMV.BUT,-0.897,-2.718
OMV.BUV,1.734,4.083
OMV.BUW,-2.636,1.076
OMV.BUZ,-0.782,-3.711
OMV.BVB,3.151,1.867
OMV.BVC,-2.084,-3.975
OMV.BVF,2.239,4.252
OMV.BVH,-3.63,0.498
OMV.BVI,-1.939,3.216
OMV.BVK,2.307,-3.18
OMV.BVN,-2.867,-1.337
OMV.BVT,-2.553,-3.139
OMV.BVW,-3.258,2.364
OMV.BVZ,0.138,-0.543
OMV.BWC,-4.179,1.975
OMV.BWD,0.43,3.917
OMV.BWG,-1.856,0.844
OMV.BWI,-3.842,0.158
OMV.BWM,-3.504,-3.978
OMV.BWN,-3.645,-3.893
OMV.BWT,-0.619,2.447
OMV.BWY,-2.451,-1.811
OMV.BXB,3.234,-3.972
OMV.BXC,-3.319,-3.62
OMV.BXF,-3.374,-1.736
OMV.BXH,3.957,3.248
OMV.BXI,-0.581,4.094
OMV.BXL,-4.381,-3.95
OMV.BXN,1.783,-0.345
OMV.BXQ,-3.959,2.543
OMV.BXS,0.448,4.37
OMV.BXV,-3.402,2.911
OMV.BXW,0.009,-1.625
OMV.BXX,2.85,4.128
OMV.BXY,0.549,0.144
OMV.BYF,-1.616,0.018
OMV.BYG,-2.899,3.775
OMV.BYJ,0.38,-3.694
OMV.BYM,2.408,-2.563
OMV.BYN,-2.809,-0.445
OMV.BYO,-2.739,-0.717
OMV.BYR,2.846,-2.612
OMV.BYS,-0.655,-0.312
OMV.BYT,2.432,2.978
OMV.BYU,-1.424,-3.567
OMV.BYW,-3.762,4.278
OMV.BYX,-4.028,0.266
OMV.BYY,0.428,1.14
OMV.BZA,2.222,1.946
OMV.BZC,-3.173,-0.695
OMV.BZE,0.377,0.244
OMV.BZF,-3.891,3.659
OMV.BZG,1.234,-0.256
OMV.BZK,-3.301,-0.389
OMV.BZN,-3.106,-0.967
OMV.BZO,-3.496,1.577
OMV.BZU,-2.366,-2.323
OMV.BZZ,3.51,0.962
OMV.CAG,-0.941,0.778
OMV.CAH,1.54,3.038
OMV.CAJ,-1.42,4.301
OMV.CAK,1.119,0.737
OMV.CAL,2.414,-1.409
OMV.CAN,0.818,0.681
OMV.CAO,-2.062,0.046
OMV.CAP,1.859,1.232
OMV.CAQ,-1.833,-0.319
OMV.CAV,3.094,3.987
OMV.CAW,4.177,2.657
OMV.CAX,0.696,-2.489
OMV.CAY,3.946,1.634
OMV.CBA,1.238,-3.038
OMV.CBB,2.746,-4.379
OMV.CBC,-2.246,2.693
OMV.CBE,3.009,-3.378
OMV.CBG,-0.868,-2.271
OMV.CBH,-2.303,-3.053
OMV.CBJ,-0.71,0.415
OMV.CBL,1.896,-1.106
OMV.CBM,-2.438,4.202
OMV.CBN,-1.072,-2.152
OMV.CBO,1.11,3.523
OMV.CBP,-1.701,4.235
OMV.CBT,-2.109,-0.853
OMV.CBV,0.947,3.616
OMV.CBX,-2.271,-0.295
OMV.CBZ,0.56,-4.262
OMV.CCA,-0.234,1.99
OMV.CCC,-0.263,1.544
OMV.CCE,-1.802,1.283
OMV.CCI,-3.82,3.386
OMV.CCL,1.367,-2.418
OMV.CCM,1.119,0.737
OMV.CCN,-0.55,4.259
OMV.CCP,4.018,-1.88
OMV.CCR,-3.775,-2.891
OMV.CCS,3.646,-0.044
OMV.CCV,-0.119,0.996
OMV.CCW,4.261,2.608
OMV.CCX,2.417,4.148
OMV.CDA,-4.498,-2.941
OMV.CDC,3.064,4.464
OMV.CDM,1.59,-2.78
OMV.CDN,-1.092,1.564
OMV.CDO,-3.802,2.218
OMV.CDP,0.994,1.736
OMV.CDR,-2.56,-0.358
OMV.CDS,0.011,1.615
OMV.CDV,-0.292,-1.681
OMV.CDW,1.611,1.608
OMV.CED,-2.467,-2.959
OMV.CEF,2.112,-1.927
OMV.CEG,-3.545,-0.015
OMV.CEH,-4.028,-2.512
OMV.CEI,1.936,-4.138
OMV.CEJ,0.087,3.424
OMV.CEK,-1.314,-2.242
OMV.CEM,-2.956,0.104
OMV.CEP,2.985,-0.816
OMV.CER,-0.247,0.377
OMV.CEU,4.457,-1.212
OMV.CEV,-3.238,3.973
OMV.CEX,-3.688,-1.551
OMV.CFA,-3.514,-1.423
OMV.CFB,-2.955,-2.675
OMV.CFC,2.847,-0.272
OMV.CFE,-1.283,-4.112
OMV.CFJ,0.169,3.839
OMV.CFM,-4.294,0.19
OMV.CFN,0.485,-0.746
OMV.CFO,-3.485,4.348
OMV.CFT,-0.154,-1.049
OMV.CFV,2.911,-4.013
OMV.CFX,-2.785,3.941
OMV.CGA,-3.493,-2.133
OMV.CGC,-2.356,2.533
OMV.CGD,4.037,-1.43
OMV.CGG,1.971,-3.466
OMV.CGH,-3.391,-1.265
OMV.CGL,-0.968,3.113
OMV.CGM,0.145,0.613
OMV.CGO,-0.493,3.529
OMV.CGP,-1.733,1.705
OMV.CGQ,-1.379,3.584
OMV.CGR,-0.014,2.785
OMV.CGT,2.071,1.339
OMV.CGV,3.307,-1.467
OMV.CGW,-3.564,-0.954
OMV.CGX,4.015,0.435
OMV.CGY,-1.491,0.637
OMV.CHA,2.257,-4.099
OMV.CHC,0.799,3.242
OMV.CHE,-2.055,3.052
OMV.CHF,-2.747,-1.407
OMV.CHI,-3.646,-2.272
OMV.CHJ,0.7,3.988
OMV.CHL,2.153,2.913
OMV.CHQ,-0.192,0.808
OMV.CHU,-2.682,2.954
OMV.CHV,3.771,-2.665
OMV.CHW,-3.693,0.997
OMV.CHX,-3.304,-2.008
OMV.CIA,-2.845,-2.044
OMV.CIC,-2.48,0.521
OMV.CIH,-2.487,-3.421
OMV.CIR,3.371,-0.115
OMV.CIT,-4.075,-3.411
OMV.CIU,0.056,0.895
OMV.CIX,3.787,0.801
OMV.CIZ,-3.992,0.708
OMV.CJB,0.858,-4.436
OMV.CJC,-0.076,-0.869
OMV.CJD,1.373,1.515
OMV.CJE,-1.734,1.013
OMV.CJH,-0.951,4.261
OMV.CJI,-0.793,-0.231
OMV.CJL,-0.199,0.117
OMV.CJM,-4.208,1.528
OMV.CJN,2.533,-3.564
OMV.CJP,0.464,-1.655
OMV.CJV,0.143,-1.007
OMV.CKA,3.083,-2.262
OMV.CKC,3.565,-3.007
OMV.CKD,1.379,1.975
OMV.CKE,-3.114,1.817
OMV.CKL,-3.843,4.095
OMV.CKM,2.561,1.285
OMV.CKN,1.618,2.299
OMV.CKP,-3.335,1.483
OMV.CKQ,3.28,3.643
OMV.CKT,-4.065,3.529
OMV.CKU,0.46,2.511
OMV.CLA,-0.959,-1.292
OMV.CLB,-4.073,3.302
OMV.CLC,-0.112,-0.628
OMV.CLD,0.111,-3.769
OMV.CLG,1.889,0.749
OMV.CLJ,3.618,-1.654
OMV.CLO,0.318,-1.111
OMV.CLQ,-2.527,-3.618
OMV.CLS,-3.848,2.939
OMV.CLT,-1.257,1.428
OMV.CLU,-2.725,3.674
OMV.CMA,-3.344,3.803
OMV.CMB,2.661,3.774
OMV.CMC,0.514,4.1
OMV.CMD,2.76,-1.61
OMV.CME,-4.279,-3.755
OMV.CMG,3.719,3.323
OMV.CMH,-2.483,2.144
OMV.CMJ,-3.948,2.998
OMV.CML,-3.948,-2.79
OMV.CMP,2.416,0.675
OMV.CMQ,-1.773,-3.071
OMV.CMV,-1.328,-1.076
OMV.CMX,2.218,2.645
OMV.CNA,0.864,-0.505
OMV.CNB,1.551,-0.904
OMV.CNE,-2.319,-1.193
OMV.CNF,0.825,1.14
OMV.CNH,2.471,-4.439
OMV.CNI,-2.757,-3.924
OMV.CNJ,2.026,-0.487
OMV.CNK,2.418,2.526
OMV.CNL,4.084,-3.311
OMV.CNM,-2.083,-0.405
OMV.CNN,-0.609,-3.812
OMV.CNP,2.583,1.735
OMV.CNQ,-1.937,3.678
OMV.CNS,-2.265,-0.994
OMV.CNT,-1.899,1.108
OMV.CNU,1.315,-4.009
OMV.CNX,1.484,2.837
OMV.CNY,-3.574,0.233
OMV.COC,2.516,1.543
OMV.COD,-2.034,-1.362
OMV.COF,-2.962,-2.893
OMV.COI,3.729,2.455
OMV.COK,1.636,3.214
OMV.COR,0.621,-0.13
OMV.COS,-2.712,-2.584
OMV.COW,1.016,-1.527
OMV.COX,-4.107,1.701
OMV.COY,-3.672,2.84
OMV.COZ,-3.731,3.798
OMV.CPB,0.445,-3.269
OMV.CPD,-1.795,2.669
OMV.CPE,-2.951,-3.603
OMV.CPF,-1.073,-0.993
OMV.CPI,3.084,-0.179
OMV.CPL,-1.063,-2.852
OMV.CPM,-0.082,2.596
OMV.CPQ,1.162,0.017
OMV.CPU,-3.344,1.025
OMV.CQC,0.862,3.901
OMV.CQE,4.457,-1.212
OMV.CQF,4.3,1.89
OMV.CQG,-4.149,-3.136
OMV.CQH,1.75,-1.484
OMV.CQI,-4.332,-1.408
OMV.CQJ,2.791,-0.702
OMV.CQR,4.114,-0.085
OMV.CQU,-4.394,-2.762
OMV.CQV,3.239,1.125
OMV.CQW,-3.593,-4.155
OMV.CQY,4.461,-3.068
OMV.CRA,1.289,2.951
OMV.CRB,-0.479,-3.193
OMV.CRD,-4.44,2.59
OMV.CRG,-1.607,1.633
OMV.CRK,0.955,-1.714
OMV.CRO,-0.329,3.436
OMV.CRS,0.586,-0.573
OMV.CRX,-1.045,-4.494
OMV.CRY,-2.134,3.098
OMV.CSA,-2.206,-2.185
OMV.CSB,0.927,-3.55
OMV.CSC,1.77,0.59
OMV.CSD,-3.833,0.616
OMV.CSE,0.944,2.458
OMV.CSH,-0.565,3.341
OMV.CSJ,0.313,-2.266
OMV.CSK,1.728,3.854
OMV.CSL,-3.272,0.752
OMV.CSO,0.516,-3.074
OMV.CSP,-1.724,-4.319
OMV.CSQ,-0.564,-0.132
OMV.CSU,-3.155,-0.243
OMV.CSX,-2.972,-1.97
OMV.CSY,1.61,4.389
